solar irradiance	太阳辐照度
RICE framework	RICE框架
MOSCOW method	MoSCoW方法
Kano model	卡诺模型
performance feature	性能型需求
basic feature	基本型需求
indifferent feature	无差异型需求
reverse feature	逆向型需求
functional job	功能性工作
emotional job	情感性工作
social job	社会性工作
job map	工作地图
outcome-driven innovation	成果驱动创新
desired outcome	期望成果
opportunity score	机会分数
behavioral persona	行为画像
proto-persona	假设画像
jobs to be done persona	JTBD画像
retention cohort	留存同期群
session replay	会话回放
click map	点击地图
scroll map	滚动地图
attention map	注意力地图
Type I error	第一类错误
Type II error	第二类错误
statistical power	统计功效
release train	发布列车
sunsetting	产品退役
migration path	迁移路径
architecture modernization	架构现代化
platform consolidation	平台整合
API versioning	API版本管理
strangler fig pattern	绞杀者模式
event-driven architecture	事件驱动架构
CQRS	命令查询职责分离
event sourcing	事件溯源
requirement prioritization	requirementprioritization
requirement approval	requirementapproval
requirement design	requirementdesign
requirement enhancement	requirementenhancement
requirement measurement	requirementmeasurement
requirement execution	requirementexecution
requirement showcase	requirementshowcase
specification definition	specificationdefinition
specification validation	specificationvalidation
specification verification	specificationverification
specification enhancement	specificationenhancement
specification monitoring	specificationmonitoring
specification reporting	specificationreporting
specification scheduling	specificationscheduling
specification documentation	specificationdocumentation
feature debugging	featuredebugging
feature enhancement	featureenhancement
feature coordination	featurecoordination
feature facilitation	featurefacilitation
functionality validation	functionalityvalidation
functionality development	functionalitydevelopment
functionality deployment	functionalitydeployment
functionality execution	functionalityexecution
functionality documentation	functionalitydocumentation
functionality description	functionalitydescription
capability gathering	capabilitygathering
capability verification	capabilityverification
capability scheduling	capabilityscheduling
capability facilitation	capabilityfacilitation
capability elaboration	capabilityelaboration
user development	userdevelopment
user deployment	userdeployment
user debugging	userdebugging
user enhancement	userenhancement
user documentation	userdocumentation
customer implementation	customerimplementation
customer description	customerdescription
customer elaboration	customerelaboration
customer showcase	customershowcase
stakeholder debugging	stakeholderdebugging
stakeholder enhancement	stakeholderenhancement
stakeholder facilitation	stakeholderfacilitation
stakeholder exhibition	stakeholderexhibition
developer prioritization	developerprioritization
developer management	developermanagement
developer verification	developerverification
developer development	developerdevelopment
developer clarification	developerclarification
developer communication	developercommunication
designer verification	designerverification
designer sign-off	designersign-off
designer integration	designerintegration
designer debugging	designerdebugging
designer execution	designerexecution
designer description	designerdescription
product measurement	productmeasurement
product specification	productspecification
product exhibition	productexhibition
platform definition	platformdefinition
platform management	platformmanagement
platform development	platformdevelopment
platform testing	platformtesting
platform refinement	platformrefinement
platform elaboration	platformelaboration
platform demonstration	platformdemonstration
system definition	systemdefinition
system approval	systemapproval
system presentation	systempresentation
system showcase	systemshowcase
application validation	applicationvalidation
application review	applicationreview
application design	applicationdesign
application reporting	applicationreporting
application scheduling	applicationscheduling
application documentation	applicationdocumentation
application elaboration	applicationelaboration
tool analysis	toolanalysis
tool management	toolmanagement
tool design	tooldesign
tool testing	tooltesting
tool refinement	toolrefinement
tool reporting	toolreporting
tool planning	toolplanning
tool facilitation	toolfacilitation
tool specification	toolspecification
tool exhibition	toolexhibition
interface planning	interfaceplanning
interface execution	interfaceexecution
interface clarification	interfaceclarification
interface demonstration	interfacedemonstration
experience management	experiencemanagement
experience review	experiencereview
experience approval	experienceapproval
experience optimization	experienceoptimization
experience reporting	experiencereporting
experience planning	experienceplanning
experience coordination	experiencecoordination
experience facilitation	experiencefacilitation
experience elaboration	experienceelaboration
interaction gathering	interactiongathering
interaction prioritization	interactionprioritization
interaction verification	interactionverification
interaction review	interactionreview
interaction sign-off	interactionsign-off
interaction implementation	interactionimplementation
interaction integration	interactionintegration
interaction deployment	interactiondeployment
interaction specification	interactionspecification
interaction exhibition	interactionexhibition
workflow verification	workflowverification
workflow design	workflowdesign
workflow implementation	workflowimplementation
workflow debugging	workflowdebugging
workflow refinement	workflowrefinement
workflow documentation	workflowdocumentation
workflow specification	workflowspecification
workflow elaboration	workflowelaboration
workflow showcase	workflowshowcase
journey management	journeymanagement
journey approval	journeyapproval
journey design	journeydesign
journey deployment	journeydeployment
journey testing	journeytesting
journey enhancement	journeyenhancement
journey planning	journeyplanning
journey coordination	journeycoordination
research analysis	researchanalysis
research integration	researchintegration
research enhancement	researchenhancement
research tracking	researchtracking
research measurement	researchmeasurement
research coordination	researchcoordination
research facilitation	researchfacilitation
research communication	researchcommunication
research presentation	researchpresentation
discovery definition	discoverydefinition
discovery analysis	discoveryanalysis
discovery management	discoverymanagement
discovery approval	discoveryapproval
discovery debugging	discoverydebugging
discovery enhancement	discoveryenhancement
discovery tracking	discoverytracking
discovery specification	discoveryspecification
discovery description	discoverydescription
discovery clarification	discoveryclarification
discovery showcase	discoveryshowcase
validation management	validationmanagement
validation design	validationdesign
validation deployment	validationdeployment
validation optimization	validationoptimization
validation tracking	validationtracking
validation monitoring	validationmonitoring
validation exhibition	validationexhibition
testing sign-off	testingsign-off
testing development	testingdevelopment
testing implementation	testingimplementation
testing integration	testingintegration
testing measurement	testingmeasurement
testing reporting	testingreporting
testing execution	testingexecution
evaluation gathering	evaluationgathering
evaluation management	evaluationmanagement
evaluation validation	evaluationvalidation
evaluation development	evaluationdevelopment
evaluation implementation	evaluationimplementation
evaluation measurement	evaluationmeasurement
evaluation facilitation	evaluationfacilitation
evaluation documentation	evaluationdocumentation
metric analysis	metricanalysis
metric validation	metricvalidation
metric review	metricreview
metric design	metricdesign
metric deployment	metricdeployment
metric optimization	metricoptimization
metric enhancement	metricenhancement
metric planning	metricplanning
metric scheduling	metricscheduling
metric coordination	metriccoordination
metric execution	metricexecution
metric description	metricdescription
indicator sign-off	indicatorsign-off
indicator design	indicatordesign
indicator testing	indicatortesting
indicator tracking	indicatortracking
indicator monitoring	indicatormonitoring
indicator elaboration	indicatorelaboration
indicator showcase	indicatorshowcase
measurement management	measurementmanagement
measurement review	measurementreview
measurement integration	measurementintegration
measurement debugging	measurementdebugging
measurement refinement	measurementrefinement
measurement scheduling	measurementscheduling
measurement clarification	measurementclarification
measurement demonstration	measurementdemonstration
benchmark definition	benchmarkdefinition
benchmark validation	benchmarkvalidation
benchmark approval	benchmarkapproval
benchmark documentation	benchmarkdocumentation
baseline sign-off	baselinesign-off
baseline specification	baselinespecification
baseline elaboration	baselineelaboration
growth validation	growthvalidation
growth approval	growthapproval
growth sign-off	growthsign-off
growth measurement	growthmeasurement
growth planning	growthplanning
growth coordination	growthcoordination
growth demonstration	growthdemonstration
growth showcase	growthshowcase
engagement integration	engagementintegration
engagement coordination	engagementcoordination
engagement facilitation	engagementfacilitation
engagement documentation	engagementdocumentation
adoption prioritization	adoptionprioritization
adoption deployment	adoptiondeployment
adoption optimization	adoptionoptimization
adoption monitoring	adoptionmonitoring
adoption reporting	adoptionreporting
adoption elaboration	adoptionelaboration
adoption communication	adoptioncommunication
adoption demonstration	adoptiondemonstration
retention gathering	retentiongathering
retention management	retentionmanagement
retention verification	retentionverification
retention enhancement	retentionenhancement
retention planning	retentionplanning
retention clarification	retentionclarification
retention exhibition	retentionexhibition
monetization analysis	monetizationanalysis
monetization sign-off	monetizationsign-off
monetization implementation	monetizationimplementation
monetization scheduling	monetizationscheduling
monetization documentation	monetizationdocumentation
monetization elaboration	monetizationelaboration
monetization demonstration	monetizationdemonstration
monetization exhibition	monetizationexhibition
release verification	releaseverification
release approval	releaseapproval
release sign-off	releasesign-off
release deployment	releasedeployment
release debugging	releasedebugging
release enhancement	releaseenhancement
release scheduling	releasescheduling
release execution	releaseexecution
release presentation	releasepresentation
release showcase	releaseshowcase
deployment prioritization	deploymentprioritization
deployment sign-off	deploymentsign-off
deployment design	deploymentdesign
deployment deployment	deploymentdeployment
deployment presentation	deploymentpresentation
deployment demonstration	deploymentdemonstration
launch analysis	launchanalysis
launch management	launchmanagement
launch verification	launchverification
launch design	launchdesign
launch debugging	launchdebugging
launch optimization	launchoptimization
launch enhancement	launchenhancement
launch measurement	launchmeasurement
launch scheduling	launchscheduling
launch facilitation	launchfacilitation
launch clarification	launchclarification
launch exhibition	launchexhibition
rollout enhancement	rolloutenhancement
rollout execution	rolloutexecution
rollout communication	rolloutcommunication
rollout exhibition	rolloutexhibition
iteration definition	iterationdefinition
iteration development	iterationdevelopment
iteration execution	iterationexecution
iteration specification	iterationspecification
iteration exhibition	iterationexhibition
sprint validation	sprintvalidation
sprint sign-off	sprintsign-off
sprint optimization	sprintoptimization
sprint enhancement	sprintenhancement
sprint monitoring	sprintmonitoring
sprint facilitation	sprintfacilitation
sprint documentation	sprintdocumentation
milestone verification	milestoneverification
milestone approval	milestoneapproval
milestone testing	milestonetesting
milestone planning	milestoneplanning
milestone exhibition	milestoneexhibition
increment definition	incrementdefinition
increment gathering	incrementgathering
increment validation	incrementvalidation
increment review	incrementreview
increment development	incrementdevelopment
increment testing	incrementtesting
increment debugging	incrementdebugging
increment tracking	incrementtracking
increment scheduling	incrementscheduling
increment execution	incrementexecution
increment documentation	incrementdocumentation
increment demonstration	incrementdemonstration
delivery enhancement	deliveryenhancement
delivery refinement	deliveryrefinement
delivery description	deliverydescription
shipment prioritization	shipmentprioritization
shipment development	shipmentdevelopment
shipment integration	shipmentintegration
shipment refinement	shipmentrefinement
shipment monitoring	shipmentmonitoring
shipment planning	shipmentplanning
shipment execution	shipmentexecution
shipment specification	shipmentspecification
shipment communication	shipmentcommunication
backlog definition	backlogdefinition
backlog approval	backlogapproval
backlog implementation	backlogimplementation
backlog execution	backlogexecution
backlog elaboration	backlogelaboration
roadmap gathering	roadmapgathering
roadmap analysis	roadmapanalysis
roadmap refinement	roadmaprefinement
roadmap monitoring	roadmapmonitoring
roadmap measurement	roadmapmeasurement
roadmap communication	roadmapcommunication
roadmap showcase	roadmapshowcase
timeline definition	timelinedefinition
timeline validation	timelinevalidation
timeline deployment	timelinedeployment
timeline testing	timelinetesting
timeline measurement	timelinemeasurement
timeline documentation	timelinedocumentation
schedule verification	scheduleverification
schedule sign-off	schedulesign-off
schedule monitoring	schedulemonitoring
schedule communication	schedulecommunication
calendar prioritization	calendarprioritization
calendar approval	calendarapproval
calendar sign-off	calendarsign-off
calendar enhancement	calendarenhancement
calendar facilitation	calendarfacilitation
calendar description	calendardescription
calendar elaboration	calendarelaboration
calendar showcase	calendarshowcase
calendar exhibition	calendarexhibition
priority management	prioritymanagement
priority validation	priorityvalidation
priority verification	priorityverification
priority sign-off	prioritysign-off
priority integration	priorityintegration
priority testing	prioritytesting
priority enhancement	priorityenhancement
priority reporting	priorityreporting
priority planning	priorityplanning
priority presentation	prioritypresentation
importance analysis	importanceanalysis
importance management	importancemanagement
importance verification	importanceverification
importance sign-off	importancesign-off
importance development	importancedevelopment
importance refinement	importancerefinement
importance facilitation	importancefacilitation
importance documentation	importancedocumentation
importance elaboration	importanceelaboration
urgency approval	urgencyapproval
urgency tracking	urgencytracking
urgency reporting	urgencyreporting
urgency description	urgencydescription
urgency demonstration	urgencydemonstration
impact management	impactmanagement
impact development	impactdevelopment
impact coordination	impactcoordination
impact elaboration	impactelaboration
impact demonstration	impactdemonstration
effort analysis	effortanalysis
effort testing	efforttesting
effort debugging	effortdebugging
effort planning	effortplanning
effort facilitation	effortfacilitation
effort execution	effortexecution
effort demonstration	effortdemonstration
hypothesis validation	hypothesisvalidation
hypothesis sign-off	hypothesissign-off
hypothesis development	hypothesisdevelopment
hypothesis implementation	hypothesisimplementation
hypothesis testing	hypothesistesting
hypothesis coordination	hypothesiscoordination
hypothesis clarification	hypothesisclarification
experiment gathering	experimentgathering
experiment management	experimentmanagement
experiment verification	experimentverification
experiment approval	experimentapproval
experiment enhancement	experimentenhancement
experiment reporting	experimentreporting
experiment communication	experimentcommunication
test definition	testdefinition
test review	testreview
test approval	testapproval
test deployment	testdeployment
test facilitation	testfacilitation
test exhibition	testexhibition
trial prioritization	trialprioritization
trial enhancement	trialenhancement
trial specification	trialspecification
trial description	trialdescription
trial communication	trialcommunication
trial showcase	trialshowcase
trial exhibition	trialexhibition
pilot gathering	pilotgathering
pilot facilitation	pilotfacilitation
pilot execution	pilotexecution
pilot specification	pilotspecification
pilot clarification	pilotclarification
pilot communication	pilotcommunication
pilot showcase	pilotshowcase
feedback verification	feedbackverification
feedback measurement	feedbackmeasurement
feedback scheduling	feedbackscheduling
feedback documentation	feedbackdocumentation
feedback specification	feedbackspecification
feedback description	feedbackdescription
insight design	insightdesign
insight integration	insightintegration
insight execution	insightexecution
insight specification	insightspecification
insight elaboration	insightelaboration
insight demonstration	insightdemonstration
observation definition	observationdefinition
observation gathering	observationgathering
observation verification	observationverification
observation implementation	observationimplementation
observation refinement	observationrefinement
observation scheduling	observationscheduling
observation facilitation	observationfacilitation
observation showcase	observationshowcase
finding prioritization	findingprioritization
finding sign-off	findingsign-off
finding design	findingdesign
finding development	findingdevelopment
finding execution	findingexecution
finding description	findingdescription
conclusion management	conclusionmanagement
conclusion deployment	conclusiondeployment
conclusion tracking	conclusiontracking
conclusion planning	conclusionplanning
conclusion specification	conclusionspecification
conclusion exhibition	conclusionexhibition
goal deployment	goaldeployment
goal tracking	goaltracking
goal showcase	goalshowcase
objective gathering	objectivegathering
objective integration	objectiveintegration
objective enhancement	objectiveenhancement
objective refinement	objectiverefinement
objective monitoring	objectivemonitoring
objective reporting	objectivereporting
objective coordination	objectivecoordination
objective documentation	objectivedocumentation
target validation	targetvalidation
target deployment	targetdeployment
target debugging	targetdebugging
target enhancement	targetenhancement
target measurement	targetmeasurement
target scheduling	targetscheduling
outcome debugging	outcomedebugging
outcome optimization	outcomeoptimization
outcome enhancement	outcomeenhancement
outcome refinement	outcomerefinement
outcome measurement	outcomemeasurement
outcome reporting	outcomereporting
outcome planning	outcomeplanning
result analysis	resultanalysis
result verification	resultverification
result review	resultreview
result sign-off	resultsign-off
result design	resultdesign
result enhancement	resultenhancement
result reporting	resultreporting
result elaboration	resultelaboration
result exhibition	resultexhibition
problem prioritization	problemprioritization
problem debugging	problemdebugging
problem refinement	problemrefinement
problem measurement	problemmeasurement
problem scheduling	problemscheduling
problem exhibition	problemexhibition
challenge prioritization	challengeprioritization
challenge testing	challengetesting
challenge optimization	challengeoptimization
challenge reporting	challengereporting
challenge showcase	challengeshowcase
obstacle definition	obstacledefinition
obstacle prioritization	obstacleprioritization
obstacle management	obstaclemanagement
obstacle integration	obstacleintegration
obstacle deployment	obstacledeployment
obstacle monitoring	obstaclemonitoring
obstacle reporting	obstaclereporting
obstacle specification	obstaclespecification
obstacle description	obstacledescription
obstacle demonstration	obstacledemonstration
constraint analysis	constraintanalysis
constraint verification	constraintverification
constraint deployment	constraintdeployment
limitation definition	limitationdefinition
limitation prioritization	limitationprioritization
limitation verification	limitationverification
limitation design	limitationdesign
limitation integration	limitationintegration
limitation debugging	limitationdebugging
limitation optimization	limitationoptimization
limitation tracking	limitationtracking
limitation reporting	limitationreporting
limitation coordination	limitationcoordination
limitation facilitation	limitationfacilitation
limitation specification	limitationspecification
limitation description	limitationdescription
limitation clarification	limitationclarification
opportunity gathering	opportunitygathering
opportunity validation	opportunityvalidation
opportunity debugging	opportunitydebugging
opportunity showcase	opportunityshowcase
possibility analysis	possibilityanalysis
possibility validation	possibilityvalidation
possibility testing	possibilitytesting
possibility enhancement	possibilityenhancement
possibility measurement	possibilitymeasurement
potential review	potentialreview
potential sign-off	potentialsign-off
potential development	potentialdevelopment
potential integration	potentialintegration
potential debugging	potentialdebugging
potential optimization	potentialoptimization
potential enhancement	potentialenhancement
potential coordination	potentialcoordination
potential facilitation	potentialfacilitation
potential elaboration	potentialelaboration
option gathering	optiongathering
option management	optionmanagement
option review	optionreview
option development	optiondevelopment
option implementation	optionimplementation
option documentation	optiondocumentation
option elaboration	optionelaboration
option presentation	optionpresentation
option demonstration	optiondemonstration
option exhibition	optionexhibition
alternative validation	alternativevalidation
alternative review	alternativereview
alternative deployment	alternativedeployment
alternative testing	alternativetesting
alternative optimization	alternativeoptimization
alternative enhancement	alternativeenhancement
alternative tracking	alternativetracking
alternative reporting	alternativereporting
alternative elaboration	alternativeelaboration
alternative demonstration	alternativedemonstration
alternative exhibition	alternativeexhibition
market integration	marketintegration
market refinement	marketrefinement
industry design	industrydesign
industry testing	industrytesting
industry optimization	industryoptimization
industry measurement	industrymeasurement
industry reporting	industryreporting
industry clarification	industryclarification
industry demonstration	industrydemonstration
industry showcase	industryshowcase
competitor verification	competitorverification
competitor approval	competitorapproval
competitor design	competitordesign
competitor refinement	competitorrefinement
competitor measurement	competitormeasurement
competitor reporting	competitorreporting
competitor planning	competitorplanning
competitor documentation	competitordocumentation
competitor elaboration	competitorelaboration
competitor clarification	competitorclarification
trend design	trenddesign
trend reporting	trendreporting
trend planning	trendplanning
trend documentation	trenddocumentation
trend demonstration	trenddemonstration
landscape prioritization	landscapeprioritization
landscape implementation	landscapeimplementation
landscape enhancement	landscapeenhancement
landscape refinement	landscaperefinement
landscape measurement	landscapemeasurement
landscape planning	landscapeplanning
kick off	启动
roundtable	圆桌讨论
time box	时间限制
offline discussion	线下讨论
take offline	会后单独讨论
table this topic	搁置此议题
defer to	推迟到
takeaway	待办事项
outcome	会议成果
deliverable	交付物
due date	截止日期
EOD	今日结束前
COB	下班前
decline	拒绝会议
skip-level meeting	越级会议
all-hands meeting	全员会议
workshop	研讨会
ideation	创意构思
deep dive	深入探讨
war room	作战室
stand-up meeting	站立会议
scrum ceremony	Scrum仪式
lunch and learn	午餐学习会
fireside chat	炉边谈话
keynote	主题演讲
plenary session	全体会议
networking session	社交环节
icebreaker activity	破冰活动
facilitator	引导师
presenter	演讲者
attendee	参会者
participant	参与者
stakeholder	相关方
quorum	法定人数
consensus	共识
disagree and commit	有异议但支持
devil's advocate	故意唱反调
fist of five	五指表决
dot voting	贴点投票
Q&A session	问答环节
hands up	举手
mute yourself	请静音
unmute	取消静音
you cut out	你断线了
share screen	共享屏幕
remote control request	请求远程控制
dial in	拨入
passcode	会议密码
meeting link	会议链接
bridge line	电话桥接
conference ID	会议ID
host key	主持人密钥
mute all	全员静音
lock meeting	锁定会议
remove participant	移除参与者
leave meeting	离开会议
motion	动议
second the motion	附议
all in favor	赞成
opposed	反对
abstain	弃权
motion carries	动议通过
motion fails	动议未通过
amend the motion	修改动议
table the motion	搁置动议
call the question	要求表决
touch base	简短沟通
catch up	跟进了解
get on the same page	达成共识
hammer out	敲定
zoom out	宏观视角
level set	确立基线认知
underpromise and overdeliver	低承诺高交付
read between the lines	领会言外之意
soft stop	灵活结束时间
regroup	重新召集
reconvene	重新开会
adjourn	休会
wrap up	结束
next steps	下一步
action items	待办事项
directly responsible individual	直接负责人
flag	标记/提醒
friction point	摩擦点
low hanging fruit	容易获得的成果
runway	可用时间/资金期
burn rate	资金消耗率
north star	北极星目标
swimlane	职责范围
wheelhouse	擅长的领域
inflection point	拐点
paradigm shift	范式转变
sea change	根本性变化
moat	护城河
flywheel	飞轮效应
virtuous circle	良性循环
vicious cycle	恶性循环
cut bait	及时止损
sunset	逐步淘汰
deprecate	弃用
vendor lock-in	供应商锁定
ecosystem lock-in	生态系统锁定
switching cost	转换成本
barrier to exit	退出壁垒
fast follower	快速跟随者
late mover advantage	后发优势
network effect	网络效应
economies of scope	范围经济
diseconomies of scale	规模不经济
law of diminishing returns	边际报酬递减法则
opportunity cost	机会成本
sunk cost	沉没成本
data driven	数据驱动
data informed	数据知情
gut feel	直觉
trust but verify	信任但要验证
spike	技术探索
scrappy	拼凑式但可行的
move fast and break things	快速行动打破常规
blameless culture	无指责文化
fixed mindset	固定型思维
beginner's mind	初学者心态
first principles thinking	第一性原理思维
systems thinking	系统思维
second-order effect	二阶效应
unintended consequence	意外后果
blowback	反作用/负面后果
pushback	反对意见
buy-in	认同/支持
dress rehearsal	彩排
table read	通读/围读
run of show	活动流程
cue	提示/信号
segue	自然过渡
digression	离题
pass the mic	把话筒交给
hand over to	交接给
take it away	交给你了
over to you	交给你了
jump in	加入讨论
speak up	说出来
push back on	反对/质疑
call into question	质疑
move the goalposts	改变目标/标准
raise the bar	提高标准
above the bar	高于标准
table stakes	基本要求
hygiene factor	保健因素
delighter	惊喜因素
special sauce	特别之处
je ne sais quoi	难以言表的特质
sense check	合理性检验
status check	状态检查
progress check	进度检查
agenda item	议程项目
table a motion	搁置动议
carry a motion	通过动议
casting vote	决定票
proxy vote	代理投票
reading of minutes	宣读会议记录
approval of minutes	通过会议记录
matters arising	前次遗留事项
old business	旧事项
executive session	闭门会议
retrospective	回顾会议
post-mortem	事后复盘
brown bag session	午餐学习会
slide master	幻灯片母版
talking points	谈话要点
speaker notes	演讲者备注
leave-behind	会后资料
projector	投影仪
screen sharing	屏幕共享
video conferencing	视频会议
virtual background	虚拟背景
raise hand	举手
whiteboard	白板
action item	行动项
owner	负责人
meeting minutes	会议记录
executive summary	执行摘要
RAID log	RAID日志
risk register	风险登记册
minutes of meeting	会议纪要
mute	静音
meeting ID	会议ID
co-host	联席主持人
off-topic	跑题
green light	放行/批准
yellow flag	预警标志
escalation path	上报路径
bypass protocol	越级上报
critical path	关键路径
gold plating	镀金
expectation management	期望管理
set the tone	定调
singing from the same hymn sheet	步调一致
touch point	接触点
face time	当面交流
water cooler conversation	茶水间闲聊
corridor conversation	走廊交谈
wash-up meeting	总结会议
lessons learned	经验教训
conference organization	conferenceorganization
conference coordination	conferencecoordination
conference scheduling	conferencescheduling
conference planning	conferenceplanning
conference participation	conferenceparticipation
conference contribution	conferencecontribution
conference documentation	conferencedocumentation
conference reporting	conferencereporting
conference review	conferencereview
conference presentation	conferencepresentation
conference elaboration	conferenceelaboration
symposium scheduling	symposiumscheduling
symposium participation	symposiumparticipation
symposium engagement	symposiumengagement
symposium involvement	symposiuminvolvement
symposium documentation	symposiumdocumentation
symposium summarization	symposiumsummarization
symposium tracking	symposiumtracking
symposium monitoring	symposiummonitoring
symposium evaluation	symposiumevaluation
seminar organization	seminarorganization
seminar moderation	seminarmoderation
seminar leading	seminarleading
seminar summarization	seminarsummarization
seminar reporting	seminarreporting
seminar evaluation	seminarevaluation
seminar explanation	seminarexplanation
webinar preparation	webinarpreparation
webinar moderation	webinarmoderation
webinar hosting	webinarhosting
webinar leading	webinarleading
webinar attendance	webinarattendance
webinar involvement	webinarinvolvement
webinar documentation	webinardocumentation
webinar transcription	webinartranscription
webinar follow-up	webinarfollow-up
webinar tracking	webinartracking
webinar presentation	webinarpresentation
briefing documentation	briefingdocumentation
briefing review	briefingreview
briefing clarification	briefingclarification
briefing elaboration	briefingelaboration
discussion scheduling	discussionscheduling
discussion attendance	discussionattendance
discussion contribution	discussioncontribution
discussion involvement	discussioninvolvement
discussion elaboration	discussionelaboration
debate coordination	debatecoordination
debate scheduling	debatescheduling
debate planning	debateplanning
debate facilitation	debatefacilitation
debate moderation	debatemoderation
debate leading	debateleading
debate recording	debaterecording
debate monitoring	debatemonitoring
debate elaboration	debateelaboration
dialogue moderation	dialoguemoderation
dialogue involvement	dialogueinvolvement
dialogue elaboration	dialogueelaboration
consultation planning	consultationplanning
consultation facilitation	consultationfacilitation
consultation chairing	consultationchairing
consultation participation	consultationparticipation
consultation attendance	consultationattendance
consultation contribution	consultationcontribution
consultation follow-up	consultationfollow-up
consultation explanation	consultationexplanation
review organization	revieworganization
review chairing	reviewchairing
review contribution	reviewcontribution
review summarization	reviewsummarization
review follow-up	reviewfollow-up
status coordination	statuscoordination
status planning	statusplanning
status moderation	statusmoderation
status chairing	statuschairing
status hosting	statushosting
status attendance	statusattendance
status contribution	statuscontribution
status transcription	statustranscription
status summarization	statussummarization
status follow-up	statusfollow-up
status monitoring	statusmonitoring
status review	statusreview
status presentation	statuspresentation
status explanation	statusexplanation
status elaboration	statuselaboration
progress coordination	progresscoordination
progress facilitation	progressfacilitation
progress engagement	progressengagement
progress involvement	progressinvolvement
progress tracking	progresstracking
progress presentation	progresspresentation
progress elaboration	progresselaboration
update leading	updateleading
update attendance	updateattendance
update engagement	updateengagement
update contribution	updatecontribution
update involvement	updateinvolvement
update recording	updaterecording
update reporting	updatereporting
update tracking	updatetracking
report preparation	reportpreparation
report organization	reportorganization
report chairing	reportchairing
report hosting	reporthosting
report leading	reportleading
report attendance	reportattendance
report involvement	reportinvolvement
report follow-up	reportfollow-up
summary scheduling	summaryscheduling
summary planning	summaryplanning
summary moderation	summarymoderation
summary hosting	summaryhosting
summary participation	summaryparticipation
summary documentation	summarydocumentation
summary follow-up	summaryfollow-up
summary monitoring	summarymonitoring
summary presentation	summarypresentation
summary demonstration	summarydemonstration
summary clarification	summaryclarification
plan facilitation	planfacilitation
plan chairing	planchairing
plan leading	planleading
plan involvement	planinvolvement
plan recording	planrecording
plan transcription	plantranscription
plan summarization	plansummarization
plan demonstration	plandemonstration
plan clarification	planclarification
schedule organization	scheduleorganization
schedule hosting	schedulehosting
schedule participation	scheduleparticipation
schedule attendance	scheduleattendance
schedule involvement	scheduleinvolvement
schedule recording	schedulerecording
schedule summarization	schedulesummarization
schedule follow-up	schedulefollow-up
schedule explanation	scheduleexplanation
agenda coordination	agendacoordination
agenda facilitation	agendafacilitation
agenda leading	agendaleading
agenda attendance	agendaattendance
agenda recording	agendarecording
agenda monitoring	agendamonitoring
agenda review	agendareview
agenda demonstration	agendademonstration
agenda explanation	agendaexplanation
agenda clarification	agendaclarification
agenda elaboration	agendaelaboration
program preparation	programpreparation
program planning	programplanning
program facilitation	programfacilitation
program participation	programparticipation
program engagement	programengagement
program monitoring	programmonitoring
program clarification	programclarification
itinerary organization	itineraryorganization
itinerary planning	itineraryplanning
itinerary moderation	itinerarymoderation
itinerary hosting	itineraryhosting
itinerary documentation	itinerarydocumentation
itinerary recording	itineraryrecording
itinerary tracking	itinerarytracking
itinerary clarification	itineraryclarification
attendee planning	attendeeplanning
attendee facilitation	attendeefacilitation
attendee moderation	attendeemoderation
attendee hosting	attendeehosting
attendee engagement	attendeeengagement
attendee transcription	attendeetranscription
attendee monitoring	attendeemonitoring
attendee review	attendeereview
participant organization	participantorganization
participant facilitation	participantfacilitation
participant hosting	participanthosting
participant leading	participantleading
participant attendance	participantattendance
participant contribution	participantcontribution
participant documentation	participantdocumentation
participant follow-up	participantfollow-up
participant explanation	participantexplanation
delegate preparation	delegatepreparation
delegate planning	delegateplanning
delegate hosting	delegatehosting
delegate contribution	delegatecontribution
delegate transcription	delegatetranscription
delegate summarization	delegatesummarization
delegate monitoring	delegatemonitoring
delegate evaluation	delegateevaluation
delegate clarification	delegateclarification
member scheduling	memberscheduling
member leading	memberleading
member contribution	membercontribution
member recording	memberrecording
member summarization	membersummarization
member reporting	memberreporting
member tracking	membertracking
member review	memberreview
member presentation	memberpresentation
guest planning	guestplanning
guest leading	guestleading
guest attendance	guestattendance
guest recording	guestrecording
guest transcription	guesttranscription
guest reporting	guestreporting
guest follow-up	guestfollow-up
guest review	guestreview
guest presentation	guestpresentation
guest explanation	guestexplanation
guest elaboration	guestelaboration
speaker organization	speakerorganization
speaker facilitation	speakerfacilitation
speaker moderation	speakermoderation
speaker chairing	speakerchairing
speaker leading	speakerleading
speaker contribution	speakercontribution
speaker transcription	speakertranscription
speaker tracking	speakertracking
presenter organization	presenterorganization
presenter planning	presenterplanning
presenter hosting	presenterhosting
presenter leading	presenterleading
presenter participation	presenterparticipation
presenter attendance	presenterattendance
presenter involvement	presenterinvolvement
presenter documentation	presenterdocumentation
presenter recording	presenterrecording
presenter reporting	presenterreporting
presenter tracking	presentertracking
presenter explanation	presenterexplanation
panelist preparation	panelistpreparation
panelist scheduling	panelistscheduling
panelist planning	panelistplanning
panelist moderation	panelistmoderation
panelist chairing	panelistchairing
panelist attendance	panelistattendance
panelist summarization	panelistsummarization
panelist tracking	panelisttracking
panelist evaluation	panelistevaluation
panelist presentation	panelistpresentation
panelist explanation	panelistexplanation
chair preparation	chairpreparation
chair planning	chairplanning
