完整单词库 (共 6000 词)
============================================================

[   0] solar irradiance | 太阳辐照度 | 新能源 | 难度★★★
[5032] roadmap refinement | roadmaprefinement | 产品经理用语 | 难度★★
[5033] roadmap monitoring | roadmapmonitoring | 产品经理用语 | 难度★★
[5034] roadmap measurement | roadmapmeasurement | 产品经理用语 | 难度★★
[5035] roadmap communication | roadmapcommunication | 产品经理用语 | 难度★★
[5036] roadmap showcase | roadmapshowcase | 产品经理用语 | 难度★★
[5037] timeline definition | timelinedefinition | 产品经理用语 | 难度★★
[5038] timeline validation | timelinevalidation | 产品经理用语 | 难度★★
[5039] timeline deployment | timelinedeployment | 产品经理用语 | 难度★★
[5040] timeline testing | timelinetesting | 产品经理用语 | 难度★★
[5041] timeline measurement | timelinemeasurement | 产品经理用语 | 难度★★
[5042] timeline documentation | timelinedocumentation | 产品经理用语 | 难度★★
[5043] schedule verification | scheduleverification | 产品经理用语 | 难度★★
[5044] schedule sign-off | schedulesign-off | 产品经理用语 | 难度★★
[5045] schedule monitoring | schedulemonitoring | 产品经理用语 | 难度★★
[5046] schedule communication | schedulecommunication | 产品经理用语 | 难度★★
[5047] calendar prioritization | calendarprioritization | 产品经理用语 | 难度★★
[5048] calendar approval | calendarapproval | 产品经理用语 | 难度★★
[5049] calendar sign-off | calendarsign-off | 产品经理用语 | 难度★★
[5050] calendar enhancement | calendarenhancement | 产品经理用语 | 难度★★
[5051] calendar facilitation | calendarfacilitation | 产品经理用语 | 难度★★
[5052] calendar description | calendardescription | 产品经理用语 | 难度★★
[5053] calendar elaboration | calendarelaboration | 产品经理用语 | 难度★★
[5054] calendar showcase | calendarshowcase | 产品经理用语 | 难度★★
[5055] calendar exhibition | calendarexhibition | 产品经理用语 | 难度★★
[5056] priority management | prioritymanagement | 产品经理用语 | 难度★★
[5057] priority validation | priorityvalidation | 产品经理用语 | 难度★★
[5058] priority verification | priorityverification | 产品经理用语 | 难度★★
[5059] priority sign-off | prioritysign-off | 产品经理用语 | 难度★★
[5060] priority integration | priorityintegration | 产品经理用语 | 难度★★
[5061] priority testing | prioritytesting | 产品经理用语 | 难度★★
[5062] priority enhancement | priorityenhancement | 产品经理用语 | 难度★★
[5063] priority reporting | priorityreporting | 产品经理用语 | 难度★★
[5064] priority planning | priorityplanning | 产品经理用语 | 难度★★
[5065] priority presentation | prioritypresentation | 产品经理用语 | 难度★★
[5066] importance analysis | importanceanalysis | 产品经理用语 | 难度★★
[5067] importance management | importancemanagement | 产品经理用语 | 难度★★
[5068] importance verification | importanceverification | 产品经理用语 | 难度★★
[5069] importance sign-off | importancesign-off | 产品经理用语 | 难度★★
[5070] importance development | importancedevelopment | 产品经理用语 | 难度★★
[5071] importance refinement | importancerefinement | 产品经理用语 | 难度★★
[5072] importance facilitation | importancefacilitation | 产品经理用语 | 难度★★
[5073] importance documentation | importancedocumentation | 产品经理用语 | 难度★★
[5074] importance elaboration | importanceelaboration | 产品经理用语 | 难度★★
[5075] urgency approval | urgencyapproval | 产品经理用语 | 难度★★
[5076] urgency tracking | urgencytracking | 产品经理用语 | 难度★★
[5077] urgency reporting | urgencyreporting | 产品经理用语 | 难度★★
[5078] urgency description | urgencydescription | 产品经理用语 | 难度★★
[5079] urgency demonstration | urgencydemonstration | 产品经理用语 | 难度★★
[5080] impact management | impactmanagement | 产品经理用语 | 难度★★
[5081] impact development | impactdevelopment | 产品经理用语 | 难度★★
[5082] impact coordination | impactcoordination | 产品经理用语 | 难度★★
[5083] impact elaboration | impactelaboration | 产品经理用语 | 难度★★
[5084] impact demonstration | impactdemonstration | 产品经理用语 | 难度★★
[5085] effort analysis | effortanalysis | 产品经理用语 | 难度★★
[5086] effort testing | efforttesting | 产品经理用语 | 难度★★
[5087] effort debugging | effortdebugging | 产品经理用语 | 难度★★
[5088] effort planning | effortplanning | 产品经理用语 | 难度★★
[5089] effort facilitation | effortfacilitation | 产品经理用语 | 难度★★
[5090] effort execution | effortexecution | 产品经理用语 | 难度★★
[5091] effort demonstration | effortdemonstration | 产品经理用语 | 难度★★
[5092] hypothesis validation | hypothesisvalidation | 产品经理用语 | 难度★★
[5093] hypothesis sign-off | hypothesissign-off | 产品经理用语 | 难度★★
[5094] hypothesis development | hypothesisdevelopment | 产品经理用语 | 难度★★
[5095] hypothesis implementation | hypothesisimplementation | 产品经理用语 | 难度★★
[5096] hypothesis testing | hypothesistesting | 产品经理用语 | 难度★★
[5097] hypothesis coordination | hypothesiscoordination | 产品经理用语 | 难度★★
[5098] hypothesis clarification | hypothesisclarification | 产品经理用语 | 难度★★
[5099] experiment gathering | experimentgathering | 产品经理用语 | 难度★★
[5100] experiment management | experimentmanagement | 产品经理用语 | 难度★★
[5101] experiment verification | experimentverification | 产品经理用语 | 难度★★
[5102] experiment approval | experimentapproval | 产品经理用语 | 难度★★
[5103] experiment enhancement | experimentenhancement | 产品经理用语 | 难度★★
[5104] experiment reporting | experimentreporting | 产品经理用语 | 难度★★
[5105] experiment communication | experimentcommunication | 产品经理用语 | 难度★★
[5106] test definition | testdefinition | 产品经理用语 | 难度★★
[5107] test review | testreview | 产品经理用语 | 难度★★
[5108] test approval | testapproval | 产品经理用语 | 难度★★
[5109] test deployment | testdeployment | 产品经理用语 | 难度★★
[5110] test facilitation | testfacilitation | 产品经理用语 | 难度★★
[5111] test exhibition | testexhibition | 产品经理用语 | 难度★★
[5112] trial prioritization | trialprioritization | 产品经理用语 | 难度★★
[5113] trial enhancement | trialenhancement | 产品经理用语 | 难度★★
[5114] trial specification | trialspecification | 产品经理用语 | 难度★★
[5115] trial description | trialdescription | 产品经理用语 | 难度★★
[5116] trial communication | trialcommunication | 产品经理用语 | 难度★★
[5117] trial showcase | trialshowcase | 产品经理用语 | 难度★★
[5118] trial exhibition | trialexhibition | 产品经理用语 | 难度★★
[5119] pilot gathering | pilotgathering | 产品经理用语 | 难度★★
[5120] pilot facilitation | pilotfacilitation | 产品经理用语 | 难度★★
[5121] pilot execution | pilotexecution | 产品经理用语 | 难度★★
[5122] pilot specification | pilotspecification | 产品经理用语 | 难度★★
[5123] pilot clarification | pilotclarification | 产品经理用语 | 难度★★
[5124] pilot communication | pilotcommunication | 产品经理用语 | 难度★★
[5125] pilot showcase | pilotshowcase | 产品经理用语 | 难度★★
[5126] feedback verification | feedbackverification | 产品经理用语 | 难度★★
[5127] feedback measurement | feedbackmeasurement | 产品经理用语 | 难度★★
[5128] feedback scheduling | feedbackscheduling | 产品经理用语 | 难度★★
[5129] feedback documentation | feedbackdocumentation | 产品经理用语 | 难度★★
[5130] feedback specification | feedbackspecification | 产品经理用语 | 难度★★
[5131] feedback description | feedbackdescription | 产品经理用语 | 难度★★
[5132] insight design | insightdesign | 产品经理用语 | 难度★★
[5133] insight integration | insightintegration | 产品经理用语 | 难度★★
[5134] insight execution | insightexecution | 产品经理用语 | 难度★★
[5135] insight specification | insightspecification | 产品经理用语 | 难度★★
[5136] insight elaboration | insightelaboration | 产品经理用语 | 难度★★
[5137] insight demonstration | insightdemonstration | 产品经理用语 | 难度★★
[5138] observation definition | observationdefinition | 产品经理用语 | 难度★★
[5139] observation gathering | observationgathering | 产品经理用语 | 难度★★
[5140] observation verification | observationverification | 产品经理用语 | 难度★★
[5141] observation implementation | observationimplementation | 产品经理用语 | 难度★★
[5142] observation refinement | observationrefinement | 产品经理用语 | 难度★★
[5143] observation scheduling | observationscheduling | 产品经理用语 | 难度★★
[5144] observation facilitation | observationfacilitation | 产品经理用语 | 难度★★
[5145] observation showcase | observationshowcase | 产品经理用语 | 难度★★
[5146] finding prioritization | findingprioritization | 产品经理用语 | 难度★★
[5147] finding sign-off | findingsign-off | 产品经理用语 | 难度★★
[5148] finding design | findingdesign | 产品经理用语 | 难度★★
[5149] finding development | findingdevelopment | 产品经理用语 | 难度★★
[5150] finding execution | findingexecution | 产品经理用语 | 难度★★
[5151] finding description | findingdescription | 产品经理用语 | 难度★★
[5152] conclusion management | conclusionmanagement | 产品经理用语 | 难度★★
[5153] conclusion deployment | conclusiondeployment | 产品经理用语 | 难度★★
[5154] conclusion tracking | conclusiontracking | 产品经理用语 | 难度★★
[5155] conclusion planning | conclusionplanning | 产品经理用语 | 难度★★
[5156] conclusion specification | conclusionspecification | 产品经理用语 | 难度★★
[5157] conclusion exhibition | conclusionexhibition | 产品经理用语 | 难度★★
[5158] goal deployment | goaldeployment | 产品经理用语 | 难度★★
[5159] goal tracking | goaltracking | 产品经理用语 | 难度★★
[5160] goal showcase | goalshowcase | 产品经理用语 | 难度★★
[5161] objective gathering | objectivegathering | 产品经理用语 | 难度★★
[5162] objective integration | objectiveintegration | 产品经理用语 | 难度★★
[5163] objective enhancement | objectiveenhancement | 产品经理用语 | 难度★★
[5164] objective refinement | objectiverefinement | 产品经理用语 | 难度★★
[5165] objective monitoring | objectivemonitoring | 产品经理用语 | 难度★★
[5166] objective reporting | objectivereporting | 产品经理用语 | 难度★★
[5167] objective coordination | objectivecoordination | 产品经理用语 | 难度★★
[5168] objective documentation | objectivedocumentation | 产品经理用语 | 难度★★
[5169] target validation | targetvalidation | 产品经理用语 | 难度★★
[5170] target deployment | targetdeployment | 产品经理用语 | 难度★★
[5171] target debugging | targetdebugging | 产品经理用语 | 难度★★
[5172] target enhancement | targetenhancement | 产品经理用语 | 难度★★
[5173] target measurement | targetmeasurement | 产品经理用语 | 难度★★
[5174] target scheduling | targetscheduling | 产品经理用语 | 难度★★
[5175] outcome debugging | outcomedebugging | 产品经理用语 | 难度★★
[5176] outcome optimization | outcomeoptimization | 产品经理用语 | 难度★★
[5177] outcome enhancement | outcomeenhancement | 产品经理用语 | 难度★★
[5178] outcome refinement | outcomerefinement | 产品经理用语 | 难度★★
[5179] outcome measurement | outcomemeasurement | 产品经理用语 | 难度★★
[5180] outcome reporting | outcomereporting | 产品经理用语 | 难度★★
[5181] outcome planning | outcomeplanning | 产品经理用语 | 难度★★
[5182] result analysis | resultanalysis | 产品经理用语 | 难度★★
[5183] result verification | resultverification | 产品经理用语 | 难度★★
[5184] result review | resultreview | 产品经理用语 | 难度★★
[5185] result sign-off | resultsign-off | 产品经理用语 | 难度★★
[5186] result design | resultdesign | 产品经理用语 | 难度★★
[5187] result enhancement | resultenhancement | 产品经理用语 | 难度★★
[5188] result reporting | resultreporting | 产品经理用语 | 难度★★
[5189] result elaboration | resultelaboration | 产品经理用语 | 难度★★
[5190] result exhibition | resultexhibition | 产品经理用语 | 难度★★
[5191] problem prioritization | problemprioritization | 产品经理用语 | 难度★★
[5192] problem debugging | problemdebugging | 产品经理用语 | 难度★★
[5193] problem refinement | problemrefinement | 产品经理用语 | 难度★★
[5194] problem measurement | problemmeasurement | 产品经理用语 | 难度★★
[5195] problem scheduling | problemscheduling | 产品经理用语 | 难度★★
[5196] problem exhibition | problemexhibition | 产品经理用语 | 难度★★
[5197] challenge prioritization | challengeprioritization | 产品经理用语 | 难度★★
[5198] challenge testing | challengetesting | 产品经理用语 | 难度★★
[5199] challenge optimization | challengeoptimization | 产品经理用语 | 难度★★
[5200] challenge reporting | challengereporting | 产品经理用语 | 难度★★
[5201] challenge showcase | challengeshowcase | 产品经理用语 | 难度★★
[5202] obstacle definition | obstacledefinition | 产品经理用语 | 难度★★
[5203] obstacle prioritization | obstacleprioritization | 产品经理用语 | 难度★★
[5204] obstacle management | obstaclemanagement | 产品经理用语 | 难度★★
[5205] obstacle integration | obstacleintegration | 产品经理用语 | 难度★★
[5206] obstacle deployment | obstacledeployment | 产品经理用语 | 难度★★
[5207] obstacle monitoring | obstaclemonitoring | 产品经理用语 | 难度★★
[5208] obstacle reporting | obstaclereporting | 产品经理用语 | 难度★★
[5209] obstacle specification | obstaclespecification | 产品经理用语 | 难度★★
[5210] obstacle description | obstacledescription | 产品经理用语 | 难度★★
[5211] obstacle demonstration | obstacledemonstration | 产品经理用语 | 难度★★
[5212] constraint analysis | constraintanalysis | 产品经理用语 | 难度★★
[5213] constraint verification | constraintverification | 产品经理用语 | 难度★★
[5214] constraint deployment | constraintdeployment | 产品经理用语 | 难度★★
[5215] limitation definition | limitationdefinition | 产品经理用语 | 难度★★
[5216] limitation prioritization | limitationprioritization | 产品经理用语 | 难度★★
[5217] limitation verification | limitationverification | 产品经理用语 | 难度★★
[5218] limitation design | limitationdesign | 产品经理用语 | 难度★★
[5219] limitation integration | limitationintegration | 产品经理用语 | 难度★★
[5220] limitation debugging | limitationdebugging | 产品经理用语 | 难度★★
[5221] limitation optimization | limitationoptimization | 产品经理用语 | 难度★★
[5222] limitation tracking | limitationtracking | 产品经理用语 | 难度★★
[5223] limitation reporting | limitationreporting | 产品经理用语 | 难度★★
[5224] limitation coordination | limitationcoordination | 产品经理用语 | 难度★★
[5225] limitation facilitation | limitationfacilitation | 产品经理用语 | 难度★★
[5226] limitation specification | limitationspecification | 产品经理用语 | 难度★★
[5227] limitation description | limitationdescription | 产品经理用语 | 难度★★
[5228] limitation clarification | limitationclarification | 产品经理用语 | 难度★★
[5229] opportunity gathering | opportunitygathering | 产品经理用语 | 难度★★
[5230] opportunity validation | opportunityvalidation | 产品经理用语 | 难度★★
[5231] opportunity debugging | opportunitydebugging | 产品经理用语 | 难度★★
[5232] opportunity showcase | opportunityshowcase | 产品经理用语 | 难度★★
[5233] possibility analysis | possibilityanalysis | 产品经理用语 | 难度★★
[5234] possibility validation | possibilityvalidation | 产品经理用语 | 难度★★
[5235] possibility testing | possibilitytesting | 产品经理用语 | 难度★★
[5236] possibility enhancement | possibilityenhancement | 产品经理用语 | 难度★★
[5237] possibility measurement | possibilitymeasurement | 产品经理用语 | 难度★★
[5238] potential review | potentialreview | 产品经理用语 | 难度★★
[5239] potential sign-off | potentialsign-off | 产品经理用语 | 难度★★
[5240] potential development | potentialdevelopment | 产品经理用语 | 难度★★
[5241] potential integration | potentialintegration | 产品经理用语 | 难度★★
[5242] potential debugging | potentialdebugging | 产品经理用语 | 难度★★
[5243] potential optimization | potentialoptimization | 产品经理用语 | 难度★★
[5244] potential enhancement | potentialenhancement | 产品经理用语 | 难度★★
[5245] potential coordination | potentialcoordination | 产品经理用语 | 难度★★
[5246] potential facilitation | potentialfacilitation | 产品经理用语 | 难度★★
[5247] potential elaboration | potentialelaboration | 产品经理用语 | 难度★★
[5248] option gathering | optiongathering | 产品经理用语 | 难度★★
[5249] option management | optionmanagement | 产品经理用语 | 难度★★
[5250] option review | optionreview | 产品经理用语 | 难度★★
[5251] option development | optiondevelopment | 产品经理用语 | 难度★★
[5252] option implementation | optionimplementation | 产品经理用语 | 难度★★
[5253] option documentation | optiondocumentation | 产品经理用语 | 难度★★
[5254] option elaboration | optionelaboration | 产品经理用语 | 难度★★
[5255] option presentation | optionpresentation | 产品经理用语 | 难度★★
[5256] option demonstration | optiondemonstration | 产品经理用语 | 难度★★
[5257] option exhibition | optionexhibition | 产品经理用语 | 难度★★
[5258] alternative validation | alternativevalidation | 产品经理用语 | 难度★★
[5259] alternative review | alternativereview | 产品经理用语 | 难度★★
[5260] alternative deployment | alternativedeployment | 产品经理用语 | 难度★★
[5261] alternative testing | alternativetesting | 产品经理用语 | 难度★★
[5262] alternative optimization | alternativeoptimization | 产品经理用语 | 难度★★
[5263] alternative enhancement | alternativeenhancement | 产品经理用语 | 难度★★
[5264] alternative tracking | alternativetracking | 产品经理用语 | 难度★★
[5265] alternative reporting | alternativereporting | 产品经理用语 | 难度★★
[5266] alternative elaboration | alternativeelaboration | 产品经理用语 | 难度★★
[5267] alternative demonstration | alternativedemonstration | 产品经理用语 | 难度★★
[5268] alternative exhibition | alternativeexhibition | 产品经理用语 | 难度★★
[5269] market integration | marketintegration | 产品经理用语 | 难度★★
[5270] market refinement | marketrefinement | 产品经理用语 | 难度★★
[5271] industry design | industrydesign | 产品经理用语 | 难度★★
[5272] industry testing | industrytesting | 产品经理用语 | 难度★★
[5273] industry optimization | industryoptimization | 产品经理用语 | 难度★★
[5274] industry measurement | industrymeasurement | 产品经理用语 | 难度★★
[5275] industry reporting | industryreporting | 产品经理用语 | 难度★★
[5276] industry clarification | industryclarification | 产品经理用语 | 难度★★
[5277] industry demonstration | industrydemonstration | 产品经理用语 | 难度★★
[5278] industry showcase | industryshowcase | 产品经理用语 | 难度★★
[5279] competitor verification | competitorverification | 产品经理用语 | 难度★★
[5280] competitor approval | competitorapproval | 产品经理用语 | 难度★★
[5281] competitor design | competitordesign | 产品经理用语 | 难度★★
[5282] competitor refinement | competitorrefinement | 产品经理用语 | 难度★★
[5283] competitor measurement | competitormeasurement | 产品经理用语 | 难度★★
[5284] competitor reporting | competitorreporting | 产品经理用语 | 难度★★
[5285] competitor planning | competitorplanning | 产品经理用语 | 难度★★
[5286] competitor documentation | competitordocumentation | 产品经理用语 | 难度★★
[5287] competitor elaboration | competitorelaboration | 产品经理用语 | 难度★★
[5288] competitor clarification | competitorclarification | 产品经理用语 | 难度★★
[5289] trend design | trenddesign | 产品经理用语 | 难度★★
[5290] trend reporting | trendreporting | 产品经理用语 | 难度★★
[5291] trend planning | trendplanning | 产品经理用语 | 难度★★
[5292] trend documentation | trenddocumentation | 产品经理用语 | 难度★★
[5293] trend demonstration | trenddemonstration | 产品经理用语 | 难度★★
[5294] landscape prioritization | landscapeprioritization | 产品经理用语 | 难度★★
[5295] landscape implementation | landscapeimplementation | 产品经理用语 | 难度★★
[5296] landscape enhancement | landscapeenhancement | 产品经理用语 | 难度★★
[5297] landscape refinement | landscaperefinement | 产品经理用语 | 难度★★
[5298] landscape measurement | landscapemeasurement | 产品经理用语 | 难度★★
[5299] landscape planning | landscapeplanning | 产品经理用语 | 难度★★
[5300] kick off | 启动 | 商务会议用语 | 难度★
[5301] roundtable | 圆桌讨论 | 商务会议用语 | 难度★★
[5302] time box | 时间限制 | 商务会议用语 | 难度★★
[5303] offline discussion | 线下讨论 | 商务会议用语 | 难度★★
[5304] take offline | 会后单独讨论 | 商务会议用语 | 难度★
[5305] table this topic | 搁置此议题 | 商务会议用语 | 难度★★★
[5306] defer to | 推迟到 | 商务会议用语 | 难度★★
[5307] takeaway | 待办事项 | 商务会议用语 | 难度★
[5308] outcome | 会议成果 | 商务会议用语 | 难度★
[5309] deliverable | 交付物 | 商务会议用语 | 难度★
[5310] due date | 截止日期 | 商务会议用语 | 难度★
[5311] EOD | 今日结束前 | 商务会议用语 | 难度★
[5312] COB | 下班前 | 商务会议用语 | 难度★
[5313] decline | 拒绝会议 | 商务会议用语 | 难度★
[5314] skip-level meeting | 越级会议 | 商务会议用语 | 难度★★★
[5315] all-hands meeting | 全员会议 | 商务会议用语 | 难度★★
[5316] workshop | 研讨会 | 商务会议用语 | 难度★★
[5317] ideation | 创意构思 | 商务会议用语 | 难度★★★
[5318] deep dive | 深入探讨 | 商务会议用语 | 难度★★
[5319] war room | 作战室 | 商务会议用语 | 难度★★★
[5320] stand-up meeting | 站立会议 | 商务会议用语 | 难度★
[5321] scrum ceremony | Scrum仪式 | 商务会议用语 | 难度★★★
[5322] lunch and learn | 午餐学习会 | 商务会议用语 | 难度★★
[5323] fireside chat | 炉边谈话 | 商务会议用语 | 难度★★★
[5324] keynote | 主题演讲 | 商务会议用语 | 难度★★
[5325] plenary session | 全体会议 | 商务会议用语 | 难度★★★
[5326] networking session | 社交环节 | 商务会议用语 | 难度★★
[5327] icebreaker activity | 破冰活动 | 商务会议用语 | 难度★★
[5328] facilitator | 引导师 | 商务会议用语 | 难度★★
[5329] presenter | 演讲者 | 商务会议用语 | 难度★
[5330] attendee | 参会者 | 商务会议用语 | 难度★
[5331] participant | 参与者 | 商务会议用语 | 难度★
[5332] stakeholder | 相关方 | 商务会议用语 | 难度★
[5333] quorum | 法定人数 | 商务会议用语 | 难度★★
[5334] consensus | 共识 | 商务会议用语 | 难度★★
[5335] disagree and commit | 有异议但支持 | 商务会议用语 | 难度★★★
[5336] devil's advocate | 故意唱反调 | 商务会议用语 | 难度★★★
[5337] fist of five | 五指表决 | 商务会议用语 | 难度★★★★
[5338] dot voting | 贴点投票 | 商务会议用语 | 难度★★★
[5339] Q&A session | 问答环节 | 商务会议用语 | 难度★
[5340] hands up | 举手 | 商务会议用语 | 难度★
[5341] mute yourself | 请静音 | 商务会议用语 | 难度★
[5342] unmute | 取消静音 | 商务会议用语 | 难度★
[5343] you cut out | 你断线了 | 商务会议用语 | 难度★★
[5344] share screen | 共享屏幕 | 商务会议用语 | 难度★
[5345] remote control request | 请求远程控制 | 商务会议用语 | 难度★★★
[5346] dial in | 拨入 | 商务会议用语 | 难度★
[5347] passcode | 会议密码 | 商务会议用语 | 难度★
[5348] meeting link | 会议链接 | 商务会议用语 | 难度★
[5349] bridge line | 电话桥接 | 商务会议用语 | 难度★★
[5350] conference ID | 会议ID | 商务会议用语 | 难度★
[5351] host key | 主持人密钥 | 商务会议用语 | 难度★★★
[5352] mute all | 全员静音 | 商务会议用语 | 难度★★
[5353] lock meeting | 锁定会议 | 商务会议用语 | 难度★★
[5354] remove participant | 移除参与者 | 商务会议用语 | 难度★★★
[5355] leave meeting | 离开会议 | 商务会议用语 | 难度★
[5356] motion | 动议 | 商务会议用语 | 难度★★★
[5357] second the motion | 附议 | 商务会议用语 | 难度★★★
[5358] all in favor | 赞成 | 商务会议用语 | 难度★★★
[5359] opposed | 反对 | 商务会议用语 | 难度★★★
[5360] abstain | 弃权 | 商务会议用语 | 难度★★★
[5361] motion carries | 动议通过 | 商务会议用语 | 难度★★★
[5362] motion fails | 动议未通过 | 商务会议用语 | 难度★★★
[5363] amend the motion | 修改动议 | 商务会议用语 | 难度★★★
[5364] table the motion | 搁置动议 | 商务会议用语 | 难度★★★
[5365] call the question | 要求表决 | 商务会议用语 | 难度★★★★
[5366] touch base | 简短沟通 | 商务会议用语 | 难度★
[5367] catch up | 跟进了解 | 商务会议用语 | 难度★
[5368] get on the same page | 达成共识 | 商务会议用语 | 难度★★
[5369] hammer out | 敲定 | 商务会议用语 | 难度★★
[5370] zoom out | 宏观视角 | 商务会议用语 | 难度★★
[5371] level set | 确立基线认知 | 商务会议用语 | 难度★★★
[5372] underpromise and overdeliver | 低承诺高交付 | 商务会议用语 | 难度★★
[5373] read between the lines | 领会言外之意 | 商务会议用语 | 难度★★
[5374] soft stop | 灵活结束时间 | 商务会议用语 | 难度★★★
[5375] regroup | 重新召集 | 商务会议用语 | 难度★★
[5376] reconvene | 重新开会 | 商务会议用语 | 难度★★★
[5377] adjourn | 休会 | 商务会议用语 | 难度★★★
[5378] wrap up | 结束 | 商务会议用语 | 难度★
[5379] next steps | 下一步 | 商务会议用语 | 难度★
[5380] action items | 待办事项 | 商务会议用语 | 难度★
[5381] directly responsible individual | 直接负责人 | 商务会议用语 | 难度★★★
[5382] flag | 标记/提醒 | 商务会议用语 | 难度★
[5383] friction point | 摩擦点 | 商务会议用语 | 难度★★★
[5384] low hanging fruit | 容易获得的成果 | 商务会议用语 | 难度★★
[5385] runway | 可用时间/资金期 | 商务会议用语 | 难度★★★
[5386] burn rate | 资金消耗率 | 商务会议用语 | 难度★★★
[5387] north star | 北极星目标 | 商务会议用语 | 难度★★★
[5388] swimlane | 职责范围 | 商务会议用语 | 难度★★★
[5389] wheelhouse | 擅长的领域 | 商务会议用语 | 难度★★★
[5390] inflection point | 拐点 | 商务会议用语 | 难度★★★
[5391] paradigm shift | 范式转变 | 商务会议用语 | 难度★★★
[5392] sea change | 根本性变化 | 商务会议用语 | 难度★★★
[5393] moat | 护城河 | 商务会议用语 | 难度★★★
[5394] flywheel | 飞轮效应 | 商务会议用语 | 难度★★★
[5395] virtuous circle | 良性循环 | 商务会议用语 | 难度★★
[5396] vicious cycle | 恶性循环 | 商务会议用语 | 难度★★
[5397] cut bait | 及时止损 | 商务会议用语 | 难度★★★
[5398] sunset | 逐步淘汰 | 商务会议用语 | 难度★★★
[5399] deprecate | 弃用 | 商务会议用语 | 难度★★★
[5400] vendor lock-in | 供应商锁定 | 商务会议用语 | 难度★★★
[5401] ecosystem lock-in | 生态系统锁定 | 商务会议用语 | 难度★★★
[5402] switching cost | 转换成本 | 商务会议用语 | 难度★★
[5403] barrier to exit | 退出壁垒 | 商务会议用语 | 难度★★★
[5404] fast follower | 快速跟随者 | 商务会议用语 | 难度★★★
[5405] late mover advantage | 后发优势 | 商务会议用语 | 难度★★★
[5406] network effect | 网络效应 | 商务会议用语 | 难度★★★
[5407] economies of scope | 范围经济 | 商务会议用语 | 难度★★★★
[5408] diseconomies of scale | 规模不经济 | 商务会议用语 | 难度★★★★
[5409] law of diminishing returns | 边际报酬递减法则 | 商务会议用语 | 难度★★★
[5410] opportunity cost | 机会成本 | 商务会议用语 | 难度★★
[5411] sunk cost | 沉没成本 | 商务会议用语 | 难度★★
[5412] data driven | 数据驱动 | 商务会议用语 | 难度★
[5413] data informed | 数据知情 | 商务会议用语 | 难度★★★
[5414] gut feel | 直觉 | 商务会议用语 | 难度★★
[5415] trust but verify | 信任但要验证 | 商务会议用语 | 难度★★
[5416] spike | 技术探索 | 商务会议用语 | 难度★★★
[5417] scrappy | 拼凑式但可行的 | 商务会议用语 | 难度★★
[5418] move fast and break things | 快速行动打破常规 | 商务会议用语 | 难度★★
[5419] blameless culture | 无指责文化 | 商务会议用语 | 难度★★
[5420] fixed mindset | 固定型思维 | 商务会议用语 | 难度★★
[5421] beginner's mind | 初学者心态 | 商务会议用语 | 难度★★★
[5422] first principles thinking | 第一性原理思维 | 商务会议用语 | 难度★★★
[5423] systems thinking | 系统思维 | 商务会议用语 | 难度★★★
[5424] second-order effect | 二阶效应 | 商务会议用语 | 难度★★★
[5425] unintended consequence | 意外后果 | 商务会议用语 | 难度★★
[5426] blowback | 反作用/负面后果 | 商务会议用语 | 难度★★★
[5427] pushback | 反对意见 | 商务会议用语 | 难度★★
[5428] buy-in | 认同/支持 | 商务会议用语 | 难度★★
[5429] dress rehearsal | 彩排 | 商务会议用语 | 难度★★
[5430] table read | 通读/围读 | 商务会议用语 | 难度★★★
[5431] run of show | 活动流程 | 商务会议用语 | 难度★★★
[5432] cue | 提示/信号 | 商务会议用语 | 难度★★
[5433] segue | 自然过渡 | 商务会议用语 | 难度★★★
[5434] digression | 离题 | 商务会议用语 | 难度★★★
[5435] pass the mic | 把话筒交给 | 商务会议用语 | 难度★★
[5436] hand over to | 交接给 | 商务会议用语 | 难度★
[5437] take it away | 交给你了 | 商务会议用语 | 难度★★
[5438] over to you | 交给你了 | 商务会议用语 | 难度★
[5439] jump in | 加入讨论 | 商务会议用语 | 难度★
[5440] speak up | 说出来 | 商务会议用语 | 难度★
[5441] push back on | 反对/质疑 | 商务会议用语 | 难度★★
[5442] call into question | 质疑 | 商务会议用语 | 难度★★
[5443] move the goalposts | 改变目标/标准 | 商务会议用语 | 难度★★★
[5444] raise the bar | 提高标准 | 商务会议用语 | 难度★★
[5445] above the bar | 高于标准 | 商务会议用语 | 难度★★
[5446] table stakes | 基本要求 | 商务会议用语 | 难度★★★
[5447] hygiene factor | 保健因素 | 商务会议用语 | 难度★★★★
[5448] delighter | 惊喜因素 | 商务会议用语 | 难度★★★
[5449] special sauce | 特别之处 | 商务会议用语 | 难度★★
[5450] je ne sais quoi | 难以言表的特质 | 商务会议用语 | 难度★★★★
[5451] sense check | 合理性检验 | 商务会议用语 | 难度★★
[5452] status check | 状态检查 | 商务会议用语 | 难度★
[5453] progress check | 进度检查 | 商务会议用语 | 难度★
[5454] agenda item | 议程项目 | 商务会议用语 | 难度★
[5455] table a motion | 搁置动议 | 商务会议用语 | 难度★★★
[5456] carry a motion | 通过动议 | 商务会议用语 | 难度★★★
[5457] casting vote | 决定票 | 商务会议用语 | 难度★★★
[5458] proxy vote | 代理投票 | 商务会议用语 | 难度★★★
[5459] reading of minutes | 宣读会议记录 | 商务会议用语 | 难度★★★
